表記,読み
腸骨,チョウコツ
玉兎,ギョクト
空理,クウリ
地紋,ジモン
ロウケツ,ロウケツ
エンカウンター,エンカウンター
ポリオウイルス,ポリオウイルス
経管,ケイカン
とぶつ,トブツ
農書,ノウショ
倍,バイ
義軍,ギグン
結願,ケチガン
剣神,ケンシン
校定,コウテイ
皇孫,コウソン
困苦,コンク
自余,ジヨ
珠算,シュザン
宗論,シュウロン
庶流,ショリュウ
松柏,ショウハク
杉材,スギザイ
茶釜,チャガマ
番匠,バンジョウ
補陀落,フダラク
幽冥,ユウメイ
陽暦,ヨウレキ
浴衣地,ユカタジ
応訴,オウソ
全訂,ゼンテイ
表決,ヒョウケツ
新葉,シンバ
パーサー,パーサー
勲位,クンイ
衆望,シュウボウ
親展,シンテン
詳解,ショウカイ
グラフィティー,グラフィティー
差金,サキン
都税,トゼイ
猟友,リョウユウ
公役,クヤク
自薦,ジセン
七夜,シチヤ
集覧,シュウラン
頭寒,ズカン
麦角,バッカク
プリオン,プリオン
ビタ銭,ビタセン
カンデラ,カンデラ
メチオニン,メチオニン
ユベントス,ユベントス
グリーンベルト,グリーンベルト
工農,コウノウ
飛球,ヒキュウ
約分,ヤクブン
治者,チシャ
追試,ツイシ
党籍,トウセキ
追い証,オイショウ
漁会,ギョカイ
ジュークボックス,ジュークボックス
どんと,ドント
作字,サクジ
茶壷,チャツボ
外殻,ガイカク
販社,ハンシャ
アコースティック,アコースティック
スキミング,スキミング
東庭,トウテイ
半道,ハンドウ
漏刻,ロウコク
無毒,ムドク
構外,コウガイ
碧空,ヘキクウ
無帽,ムボウ
アフレコ,アフレコ
モノラル,モノラル
バンタム,バンタム
メタモルフォーゼ,メタモルフォーゼ
茶房,サボウ
モボ,モボ
義烈,ギレツ
暴圧,ボウアツ
トロイメライ,トロイメライ
フィクサー,フィクサー
益体,ヤクタイ
汗血,カンケツ
間分,マブ
近体,キンタイ
測鉛,ソクエン
中塔,チュウトウ
密勅,ミッチョク
落籍,ラクセキ
劣情,レツジョウ
苛性,カセイ
減法,ゲンポウ
券文,ケンモン
書陵,ショリョウ
復位,フクイ
御の字,オンノジ
経膣,ケイチツ
複勝,フクショウ
留鳥,リュウチョウ
球審,キュウシン
トランスポンダー,トランスポンダー
塗抹,トマツ
下期,シモキ
アセチレン,アセチレン
コンボイ,コンボイ
高工,コウコウ
艦底,カンテイ
伝声,デンセイ
碍子,ガイシ
ヒロポン,ヒロポン
点訳,テンヤク
読話,ドクワ
直喩,チョクユ
ナチュラリスト,ナチュラリスト
美田,ビデン
大証,ダイショウ
圧入,アツニュウ
中朝,チュウチョウ
ギンヤンマ,ギンヤンマ
ぬり絵,ヌリエ
単音,タンオン
探見,タンケン
軍書,グンショ
御史,ギョシ
好尚,コウショウ
行年,ギョウネン
師父,シフ
尖頭,セントウ
富人,フジン
講学,コウガク
裁許,サイキョ
叙説,ジョセツ
潮音,チョウオン
ドレーク,ドレーク
厄災,ヤクサイ
バイナリー,バイナリー
タピオカ,タピオカ
ナムル,ナムル
肝内,カンナイ
コンポート,コンポート
パドック,パドック
外局,ガイキョク
保衛,ホエイ
救亡,キュウボウ
惟神,イシン
燕王,エンオウ
畿外,キガイ
故山,コザン
虎口,ココウ
在城,ザイジョウ
シジュウカラ,シジュウカラ
随従,ズイジュウ
接舷,セツゲン
バッケン,バッケン
幄舎,アクシャ
語る,カタル
毒死,ドクシ
粘稠,ネンチョウ
幕開き,マクアキ
区名,クメイ
編み機,アミキ
法弟,ホウテイ
アントレプレナー,アントレプレナー
ベンガラ,ベンガラ
はんざ,ハンザ
線質,センシツ
校合,キョウゴウ
廃語,ハイゴ
本行,ホンギョウ
果糖,カトウ
穿山,センザン
都邑,トユウ
篤信,トクシン
正師,ショウシ
加減速,カゲンソク
地対,チタイ
厭戦,エンセン
家司,ケシ
古社,コシャ
助勤,ジョキン
城隍,ジョウコウ
督戦,トクセン
インポータント,インポータント
朱漆,シュウルシ
移建,イケン
プリメーラ,プリメーラ
現車,ゲンシャ
大知,タイチ
楽音,ガクオン
制札,セイサツ
直航,チョッコウ
末孫,マッソン
旅中,リョチュウ
家士,カシ
官服,カンプク
還幸,カンコウ
金鵄,キンシ
剣戟,ケンゲキ
賢所,ケンショ
合繊,ゴウセン
弱兵,ジャクヘイ
秋波,シュウハ
小卓,ショウタク
情交,ジョウコウ
寸刻,スンコク
石塁,セキルイ
即金,ソッキン
炭塵,タンジン
短弓,タンキュウ
弔使,チョウシ
内室,ナイシツ
入電,ニュウデン
氷塊,ヒョウカイ
錨鎖,ビョウサ
宝山,ホウザン
夢告,ムコク
蘭館,ランカン
力車,リキシャ
逆向,ギャッコウ
老老,ロウロウ
カテドラル,カテドラル
キュロット,キュロット
メトロポール,メトロポール
ルフラン,ルフラン
哀傷,アイショウ
陰刻,インコク
各港,カクコウ
恵与,ケイヨ
顕職,ケンショク
原籍,ゲンセキ
支脈,シミャク
島名,トウメイ
同院,ドウイン
日僑,ニッキョウ
隷,レイ
露営,ロエイ
わだん,ワダン
色盲,シキモウ
アセテート,アセテート
甲骨,コウコツ
授戒,ジュカイ
和声,ワセイ
と,ト
東高,トウコウ
身魂,シンコン
クラッシャー,クラッシャー
ゲーマー,ゲーマー
サムシング,サムシング
楽部,ガクブ
漏電,ロウデン
遺戒,イカイ
佳話,カワ
懐抱,カイホウ
基台,キダイ
漁猟,ギョリョウ
自刻,ジコク
樵夫,ショウフ
神統,シントウ
垂訓,スイクン
知徳,チトク
逓送,テイソウ
えぞう,エゾウ
安座,アンザ
逸物,イチモツ
乾漆,カンシツ
勘状,カンジョウ
韓人,カンジン
急電,キュウデン
激憤,ゲキフン
城地,ジョウチ
大度,タイド
与太郎,ヨタロウ
慮外,リョガイ
量程,リョウテイ
令息,レイソク
要集,ヨウシュウ
わきじ,ワキジ
遺愛,イアイ
器形,キケイ
女声,ジョセイ
方伯,ホウハク
蘭方,ランポウ
メスティソ,メスティソ
魚眼,ギョガン
僑,キョウ
闘犬,トウケン
舟状,シュウジョウ
老害,ロウガイ
求法,グホウ
基質,キシツ
体高,タイコウ
もっこ,モッコ
刺胞,シホウ
未分,ミブン
ペンテコステ,ペンテコステ
乙墓,イツボ
フローズン,フローズン
防炎,ボウエン
徴求,チョウキュウ
乳用,ニュウヨウ
表音,ヒョウオン
勅諚,チョクジョウ
層間,ソウカン
小球,ショウキュウ
タンブラー,タンブラー
甲高,コウダカ
じゃいん,ジャイン
好気,コウキ
彫琢,チョウタク
回文,カイブン
ベータ,ベータ
ポリゴン,ポリゴン
マウンティング,マウンティング
欠場,ケツジョウ
耳下,ジカ
初球,ショキュウ
全頭,ゼントウ
断線,ダンセン
皮内,ヒナイ
ジンジン,ジンジン
鷺鶿,ロジ
紺系,コンケイ
胸水,キョウスイ
排中,ハイチュウ
アデノウイルス,アデノウイルス
雑則,ザッソク
弁公,ベンコウ
音形,オンケイ
社倉,シャソウ
被子,ヒシ
分詞,ブンシ
風洞,フウドウ
粒あん,ツブアン
てんつゆ,テンツユ
芸道,ゲイドウ
非戦,ヒセン
各停,カクテイ
師管,シカン
防潮,ボウチョウ
命法,メイホウ
製織,セイショク
弓術,キュウジュツ
木鉢,キバチ
アシッド,アシッド
暗譜,アンプ
新店,シンミセ
念珠,ネンジュ
遺髪,イハツ
猿猴,エンコウ
回峰,カイホウ
衆道,シュドウ
宿酔,シュクスイ
色欲,シキヨク
酔余,スイヨ
年期,ネンキ
物の具,モノノグ
令名,レイメイ
クチュール,クチュール
石鏃,セキゾク
分枝,ブンシ
威徳,イトク
写し絵,ウツシエ
席入り,セキイリ
展観,テンカン
毒消し,ドクケシ
白髯,ハクゼン
開胸,カイキョウ
帰寮,キリョウ
邦字,ホウジ
発問,ハツモン
ガムラン,ガムラン
盛運,セイウン
窓下,ソウカ
製販,セイハン
カンパリ,カンパリ
禁門,キンモン
轟沈,ゴウチン
インクライン,インクライン
増感,ゾウカン
暗幕,アンマク
解官,ゲカン
水村,スイソン
銅印,ドウイン
連祷,レントウ
ネフローゼ,ネフローゼ
錯雑,サクザツ
書聖,ショセイ
心肝,シンカン
豊麗,ホウレイ
ボンゴレ,ボンゴレ
ソラニン,ソラニン
音盤,オンバン
題辞,ダイジ
風韻,フウイン
朗唱,ロウショウ
艦種,カンシュ
麹菌,コウジキン
糖鎖,トウサ
考試,コウシ
史談,シダン
擾乱,ジョウラン
同港,ドウコウ
シュシャ,シュシャ
トートロジー,トートロジー
多生,タショウ
惨たん,サンタン
起義,キギ
結髪,ケッパツ
場裡,ジョウリ
心願,シンガン
談林,ダンリン
絹帛,ケンパク
布達,フタツ
忘恩,ボウオン
急伸,キュウシン
たたき台,タタキダイ
不倒,フトウ
えん麗,エンレイ
宮女,キュウジョ
切れ字,キレジ
代診,ダイシン
不惑,フワク
隔靴,カッカ
総轄,ソウカツ
熱感,ネツカン
子葉,シヨウ
禽獣,キンジュウ
入域,ニュウイキ
行文,コウブン
ろうちゅう,ロウチュウ
コプラ,コプラ
公伝,コウデン
初文,ショブン
洪範,コウハン
雑味,ザツミ
ビードロ,ビードロ
愛妃,アイヒ
詠進,エイシン
円鏡,エンキョウ
堅木,ケンボク
厳父,ゲンプ
光来,コウライ
校友,コウユウ
黒鳥,コクチョウ
除目,ジモク
上乗,ジョウジョウ
身傷,シンショウ
中水,チュウスイ
ホームルーム,ホームルーム
傘寿,サンジュ
スモーキング,スモーキング
隠忍,インニン
黒印,コクイン
名数,メイスウ
愛育,アイイク
朝一,アサイチ
アレー,アレー
狂者,キョウシャ
エスケープ,エスケープ
雲集,ウンシュウ
刻下,コッカ
トポロジー,トポロジー
滑降,カッコウ
学窓,ガクソウ
山陰,サンイン
復学,フクガク
良案,リョウアン
語意,ゴイ
水蜜,スイミツ
シース,シース
ステーツマン,ステーツマン
他省,タショウ
油井,ユセイ
京官,キョウカン
章題,ショウダイ
清勝,セイショウ
リトミック,リトミック
赤本,アカホン
オールタナティブ,オールタナティブ
合有,ゴウユウ
修訂,シュウテイ
油槽,ユソウ
ジュート,ジュート
私印,シイン
実方,ジツカタ
フリント,フリント
線図,センズ
歌仙,カセン
ガリウム,ガリウム
マニピュレーター,マニピュレーター
吸湿,キュウシツ
ヒドラ,ヒドラ
腹臥,フクガ
トーキー,トーキー
記数,キスウ
車長,シャチョウ
後厄,アトヤク
不受,フジュ
シングルス,シングルス
スキャット,スキャット
ファナティック,ファナティック
志操,シソウ
字配り,ジクバリ
綬章,ジュショウ
宗団,シュウダン
徳義,トクギ
藩学,ハンガク
編述,ヘンジュツ
法幢,ホウドウ
ようおん,ヨウオン
社領,シャリョウ
マハトマ,マハトマ
他室,タシツ
風害,フウガイ
分園,ブンエン
ニーハオ,ニーハオ
ピンナップ,ピンナップ
佳品,カヒン
広袤,コウボウ
船医,センイ
氷片,ヒョウヘン
盲者,モウシャ
優駿,ユウシュン
くず米,クズマイ
秋作,アキサク
輪部,リンブ
アドミッション,アドミッション
罷業,ヒギョウ
トレパン,トレパン
先公鱻先生,センコウ
読心,ドクシン
キーパンチャー,キーパンチャー
県都,ケント
純良,ジュンリョウ
転部,テンブ
開物,カイブツ
古記,コキ
ステノ,ステノ
トトカルチョ,トトカルチョ
秀作,シュウサク
フェリーボート,フェリーボート
開平,カイヘイ
象耳,ゾウジ
粉食,フンショク
ポーリング,ポーリング
郡庁,グンチョウ
社費,シャヒ
皇朝,コウチョウ
神化,シンカ
辛勝,シンショウ
旨趣,シシュ
大葬,タイソウ
答書,トウショ
廃合,ハイゴウ
宝典,ホウテン
例言,レイゲン
デタント,デタント
てんかす,テンカス
てんこく,テンコク
デレギュレーション,デレギュレーション
支川,シセン
トポグラフィー,トポグラフィー
印書,インショ
開巻,カイカン
兼修,ケンシュウ
元始,ゲンシ
後身,コウシン
繊巧,センコウ
覆水,フクスイ
遺墨,イボク
印行,インコウ
印相,インソウ
金砂,キンシャ
古籍,コセキ
祭服,サイフク
呪詞,ジュシ
住僧,ジュウソウ
真個,シンコ
草がな,ソウガナ
拓本,タクホン
半夜,ハンヤ
普門,フモン
風人,フウジン
奉体,ホウタイ
良木,リョウボク
霊塔,レイトウ
デノミ,デノミ
精管,セイカン
竹麦魚,ホウボウ
謹直,キンチョク
多心,タシン
漫筆,マンピツ
本表,ホンピョウ
スカッド,スカッド
心王,シンノウ
武科,ブカ
庶物,ショブツ
ファーマシー,ファーマシー
西院,サイイン
被風,ヒフ
完徳,カントク
諸郡,ショグン
仏堂,ブツドウ
骨部,コツブ
全仏,ゼンフツ
デンオン,デンオン
インキュベーション,インキュベーション
撃柝,ゲキタク
塊状,カイジョウ
褐藻,カッソウ
菌体,キンタイ
食性,ショクセイ
寺伝,ジデン
剣山,ケンザン
内妻,ナイサイ
金斗,キント
先富,センプ
村税,ソンゼイ
年賦,ネンプ
具眼,グガン
混線,コンセン
思文,シブン
倉卒,ソウソツ
摘録,テキロク
兵備,ヘイビ
邦家,ホウカ
トランザクション,トランザクション
オブリガード,オブリガード
ヘブライズム,ヘブライズム
代返,ダイヘン
銅管,ドウカン
漆工,シッコウ
クロマトグラフィー,クロマトグラフィー
ゲンノショウコ,ゲンノショウコ
海自,カイジ
アテンド,アテンド
禅家,ゼンカ
親疎,シンソ
ボナパルティズム,ボナパルティズム
淡麗,タンレイ
岩層,ガンソウ
正風,ショウフウ
住む,スム
学統,ガクトウ
皇恩,コウオン
細緻,サイチ
秘図,ヒズ
内製,ナイセイ
教組,キョウソ
赤誠,セキセイ
キャブレター,キャブレター
支判,シハン
失権,シッケン
トルソー,トルソー
釣行,チョウコウ
銃刀,ジュウトウ
自船,ジセン
悔過,ケカ
山号,サンゴウ
視診,シシン
ダックス,ダックス
エスノ,エスノ
急派,キュウハ
市報,シホウ
酔人,スイジン
全史,ゼンシ
たせい,タセイ
鉄血,テッケツ
法認,ホウニン
エクレア,エクレア
フィア,フィア
下作,ゲサク
高冷地,コウレイチ
惜敗,セキハイ
じゃけん,ジャケン
ビバ,ビバ
魔導,マドウ
汚損,オソン
快刀,カイトウ
京華,ケイカ
侵華,シンカ
振起,シンキ
島主,トウシュ
廃刀,ハイトウ
伯楽,ハクラク
匡正,キョウセイ
華主,カシュ
小計,ショウケイ
知日,チニチ
ミニコンポ,ミニコンポ
局名,キョクメイ
売買春,バイバイシュン
勤怠,キンタイ
陸生,リクセイ
ステルス,ステルス
パラノイア,パラノイア
ホロスコープ,ホロスコープ
ミリタリズム,ミリタリズム
寸詰まり,スンヅマリ
東関,トウカン
エボナイト,エボナイト
遡航,ソコウ
どうもう,ドウモウ
未生,ミショウ
国劇,コクゲキ
テークオフ,テークオフ
自記,ジキ
本代,ホンダイ
軽費,ケイヒ
可搬,カハン
ファシリティ,ファシリティ
正房,セイボウ
清美,セイミ
ランドスケープ,ランドスケープ
南限,ナンゲン
オークル,オークル
セニョリータ,セニョリータ
金柑,キンカン
油膜,ユマク
無配,ムハイ
上縁,ジョウエン
選鉱,センコウ
法条,ホウジョウ
水理,スイリ
ふろ,フロ
クロヨン,クロヨン
醇化,ジュンカ
神火,シンカ
聖衆,ショウジュ
明法,ミョウボウ
アップタウン,アップタウン
火盗,カトウ
帰城,キジョウ
東日,トウニチ
同胎,ドウタイ
覇王,ハオウ
一季,イッキ
ローリエ,ローリエ
キノン,キノン
線虫,センチュウ
あんみつ,アンミツ
セラミックス,セラミックス
出炭,シュッタン
馬脚,バキャク
茶匙,チャサジ
供試,キョウシ
等温,トウオン
小円,ショウエン
急登,キュウトウ
代人,ダイニン
演変,エンペン
貴翰,キカン
県議,ケンギ
州際,シュウサイ
接受,セツジュ
東半,トウハン
多食,タショク
営所,エイショ
貴衆,キシュウ
実教,ジッキョウ
説示,セツジ
スタンディング,スタンディング
ロードワーク,ロードワーク
空冷,クウレイ
異伝,イデン
ようごう,ヨウゴウ
神衣,シンイ
総管,ソウカン
愚策,グサク
てい談,テイダン
要論,ヨウロン
硫安,リュウアン
ウエハース,ウエハース
下肺,カハイ
公傷,コウショウ
利食い,リグイ
アイシング,アイシング
凸面,トツメン
口部,コウブ
体腔,タイコウ
道友,ドウユウ
乳棒,ニュウボウ
序奏,ジョソウ
カルダモン,カルダモン
クレディ,クレディ
フォークリフト,フォークリフト
元職,ゲンショク
売約,バイヤク
ニューロ,ニューロ
ぼ,ボ
コンデンス,コンデンス
フレグランス,フレグランス
プログレッシブ,プログレッシブ
ユニセックス,ユニセックス
後送,コウソウ
ロックアウト,ロックアウト
主祭,シュサイ
類語,ルイゴ
降圧,コウアツ
コルサ,コルサ
ジャンピング,ジャンピング
シュプール,シュプール
ブライド,ブライド
常勝,ジョウショウ
全敗,ゼンパイ
同庁,ドウチョウ
儀仗,ギジョウ
昇竜,ショウリュウ
たどん,タドン
ネクサス,ネクサス
射幸,シャコウ
冷食,レイショク
オナー,オナー
プライズ,プライズ
ぐ犯,グハン
電離,デンリ
昼行,チュウコウ
大欲,タイヨク
注油,チュウユ
バカロレア,バカロレア
シンタックス,シンタックス
米誌,ベイシ
忌中,キチュウ
立夏,リッカ
ダイナモ,ダイナモ
マチネー,マチネー
黒蜜,クロミツ
骨法,コッポウ
フィーチャー,フィーチャー
宗族,ソウゾク
ヘーゼルナッツ,ヘーゼルナッツ
栄進,エイシン
凶弾,キョウダン
仏学,ブツガク
アジる,アジル
国章,コクショウ
絶佳,ゼッカ
長流,チョウリュウ
商都,ショウト
平信,ヘイシン
叢林,ソウリン
ピケット,ピケット
ファック,ファック
海東,カイトウ
原意,ゲンイ
三色,サンシキ
社報,シャホウ
女役,オンナヤク
すいとん,スイトン
他州,タシュウ
仏天,ブッテン
陸屋根,ロクヤネ
社研,シャケン
聴器,チョウキ
ナイトメア,ナイトメア
ハープシコード,ハープシコード
初号,ショゴウ
勲記,クンキ
諸邦,ショホウ
入質,ニュウシチ
必置,ヒッチ
ワーディング,ワーディング
満山,マンザン
トローリング,トローリング
ファース,ファース
民報,ミンポウ
リザルト,リザルト
府省,フショウ
コンバーティブル,コンバーティブル
隠亡,オンボウ
観艦,カンカン
還都,カント
奇計,キケイ
亀鑑,キカン
漁色,ギョショク
強勢,キョウセイ
金穀,キンコク
群棲,グンセイ
鶏鳴,ケイメイ
犬馬,ケンバ
減封,ゲンポウ
肯綮,コウケイ
至便,シベン
詩友,シユウ
初世,ショセイ
小店,ショウテン
食休み,ショクヤスミ
聖恩,セイオン
長髯,チョウゼン
点灯,テントウ
登仙,トウセン
陶板,トウハン
蕃人,バンジン
披見,ヒケン
亡妻,ボウサイ
名剣,メイケン
幼童,ヨウドウ
離魂,リコン
涼気,リョウキ
坑儒,コウジュ
スプラッター,スプラッター
岩頭,ガントウ
驚倒,キョウトウ
酒家,シュカ
微罪,ビザイ
ブット,ブット
防塵,ボウジン
竹材,チクザイ
庭球,テイキュウ
アンドロイド,アンドロイド
シャッポ,シャッポ
ランバダ,ランバダ
悪たれ,アクタレ
園舎,エンシャ
えんぷく,エンプク
温習,オンシュウ
各房,カクボウ
額装,ガクソウ
冠毛,カンモウ
還任,カンニン
雁首,ガンクビ
客筋,キャクスジ
胸前,キョウゼン
結句,ケック
堅陣,ケンジン
五平,ゴヘイ
擦過,サッカ
詩業,シギョウ
重囲,ジュウイ
上刻,ジョウコク
陣列,ジンレツ
束脩,ソクシュウ
タナボタ,タナボタ
艇首,テイシュ
動輪,ドウリン
入神,ニュウシン
ヒゴイ,ヒゴイ
落款,ラッカン
乱軍,ラングン
離間,リカン
立ち番,タチバン
流砂,リュウサ
仮構,カコウ
居職,イジョク
什宝,ジュウホウ
点画,テンカク
洋傘,ヨウガサ
パンソリ,パンソリ
家説,カセツ
巻首,カンシュ
帰校,キコウ
記主,キシュ
吉例,キチレイ
賢帝,ケンテイ
師道,シドウ
諸版,ショハン
小蛇,ショウジャ
省制,ショウセイ
石印,セキイン
達意,タツイ
配本,ハイホン
仏頭,ブットウ
補筆,ホヒツ
両材,リョウザイ
霊薬,レイヤク
家近,エチカ
オーバーハング,オーバーハング
遺業,イギョウ
催淫,サイイン
少憩,ショウケイ
長閥,チョウバツ
東郊,トウコウ
盲愛,モウアイ
セミプロ,セミプロ
バチェラー,バチェラー
秋林,シュウリン
明徴,メイチョウ
筆勢,ヒッセイ
問責,モンセキ
クーラント,クーラント
公差,コウサ
別送,ベッソウ
シャクヤク,シャクヤク
受贈,ジュゾウ
増車,ゾウシャ
開珎,カイチン
名香,メイコウ
緑肥,リョクヒ
ヒロイズム,ヒロイズム
円舞,エンブ
金枝,キンシ
破帽,ハボウ
卑語,ヒゴ
畢生,ヒッセイ
凡百,ボンピャク
満座,マンザ
立位,リツイ
アンチモニー,アンチモニー
科研,カケン
雇員,コイン
方案,ホウアン
グローリー,グローリー
パターナリズム,パターナリズム
コーダ,コーダ
ミニゲーム,ミニゲーム
原名,ゲンメイ
雑器,ザッキ
大寒,ダイカン
別珍,ベッチン
シネラマ,シネラマ
どら声,ドラゴエ
ルーバー,ルーバー
韻字,インジ
回漕,カイソウ
義舎,ギシャ
君恩,クンオン
軍営,グンエイ
けんつく,ケンツク
孤愁,コシュウ
光波,コウハ
告文,コクブン
薩人,サツジン
侍者,ジシャ
廠舎,ショウシャ
食券,ショッケン
性技,セイギ
訴人,ソニン
喪章,モショウ
造仏,ゾウブツ
ぞくと,ゾクト
大光,タイコウ
暖衣,ダンイ
着剣,チャッケン
敵影,テキエイ
敵火,テキカ
鉄石,テッセキ
踏み段,フミダン
頭分,カシラブン
内奏,ナイソウ
陪乗,バイジョウ
不住,フジュウ
用談,ヨウダン
来攻,ライコウ
ろうに,ロウニ
りんう,リンウ
測地,ソクチ
白あん,シロアン
不味,フミ
噴門,フンモン
クロラムフェニコール,クロラムフェニコール
シクラメン,シクラメン
ストリキニーネ,ストリキニーネ
でくる,デコイ
ファルコン,ファルコン
マドラー,マドラー
アユ漁,アユリョウ
黄精,オウセイ
後肢,コウシ
生色,セイショク
発走,ハッソウ
ファブリック,ファブリック
紺地,コンジ
デマゴギー,デマゴギー
県費,ケンピ
熟度,ジュクド
自自,ジジ
ニトロセルロース,ニトロセルロース
得喪,トクソウ
売官,バイカン
罪証,ザイショウ
バイポーラ,バイポーラ
リスペクト,リスペクト
付票,フヒョウ
有報,ユウホウ
預かり証,アズカリショウ
外性,ガイセイ
増床,ゾウショウ
喀痰,カクタン
柔媚,ジュウビ
暢達,チョウタツ
休園,キュウエン
異心,イシン
学規,ガッキ
凶運,キョウウン
国禁,コッキン
女傑,ジョケツ
陳弁,チンベン
反間,ハンカン
歩廊,ホロウ
母船,ボセン
役僧,ヤクソウ
ろうれつ,ロウレツ
インドメタシン,インドメタシン
オプティカル,オプティカル
クリムソン,クリムソン
シトラス,シトラス
テクニシャン,テクニシャン
トキソプラズマ,トキソプラズマ
ニトロソアミン,ニトロソアミン
バオバブ,バオバブ
ワンタン,ワンタン
進塁,シンルイ
魔球,マキュウ
ひこつ,ヒコツ
アーミー,アーミー
濁酒,ダクシュ
クロスワード,クロスワード
ケーン,ケーン
ターボプロップ,ターボプロップ
フラウ,フラウ
校医,コウイ
昨冬,サクトウ
出陳,シュッチン
茶味,チャミ
渡英,トエイ
余病,ヨビョウ
陸羽,リクウ
キャピトル,キャピトル
クスクス,クスクス
ツモ,ツモ
見台,ケンダイ
失血,シッケツ
全弾,ゼンダン
疎林,ソリン
投扇,トウセン
半泣き,ハンナキ
半魚,ハンギョ
フライス,フライス
光害,コウガイ
極太,ゴクブト
廃部,ハイブ
ディビジョン,ディビジョン
ビンクリスチン,ビンクリスチン
ぶっき,ブッキ
ジストマ,ジストマ
ホスゲン,ホスゲン
心内,シンナイ
ノックダウン,ノックダウン
奇書,キショ
蛇かご,ジャカゴ
成規,セイキ
船積,センセキ
美服,ビフク
北郊,ホッコウ
傾性,ケイセイ
主格,シュカク
中英,チュウエイ
来談,ライダン
軽課,ケイカ
蚕糸,サンシ
一極,イッキョク
リサイタル,リサイタル
葉菜,ヨウサイ
増配,ゾウハイ
間然,カンゼン
教門,キョウモン
古器,コキ
山民,サンミン
飛揚,ヒヨウ
戊申,ボシン
奉奠,ホウテン
北流,ホクリュウ
色界,シキカイ
同病,ドウビョウ
離床,リショウ
エンゲージメント,エンゲージメント
上師,ジョウシ
アンダンテ,アンダンテ
ポロネーズ,ポロネーズ
凶鳥,キョウチョウ
みょうき,ミョウキ
届け書,トドケショ
ボサノバ,ボサノバ
レタリング,レタリング
隠し芸,カクシゲイ
東天,トウテン
伏魔,フクマ
往訪,オウホウ
鞍上,アンジョウ
心悸,シンキ
合皮,ゴウヒ
にゅうめん,ニュウメン
チェレスタ,チェレスタ
下学,カガク
古言,コゲン
侍講,ジコウ
自注,ジチュウ
善本,ゼンポン
図法,ズホウ
甲号,コウゴウ
功力,クリキ
山雲,サンウン
師資,シシ
栄典,エイテン
共愛,キョウアイ
決選,ケッセン
新線,シンセン
審決,シンケツ
スカッシュ,スカッシュ
ステークス,ステークス
ピースメーカー,ピースメーカー
航走,コウソウ
あぎょう,アギョウ
失費,シッピ
プロテクト,プロテクト
害意,ガイイ
重爆,ジュウバク
遵奉,ジュンポウ
潜竜,センリョウ
動座,ドウザ
爆砕,バクサイ
密行,ミッコウ
ダイキャスト,ダイキャスト
法意,ホウイ
外政,ガイセイ
ふうえい,フウエイ
乳量,ニュウリョウ
フリッター,フリッター
ルバーブ,ルバーブ
一白,イッパク
諸器,ショキ
壌土,ジョウド
星状,セイジョウ
草根,ソウコン
底質,テイシツ
風砂,フウサ
名薬,メイヤク
サマリウム,サマリウム
スライサー,スライサー
スリーピング,スリーピング
辛党,カラトウ
千振,センブリ
不凍,フトウ
溶存,ヨウゾン
モラール,モラール
三権,サンケン
ルビジウム,ルビジウム
以深,イシン
光力,コウリョク
低出,テイシュツ
感泣,カンキュウ
死物,シブツ
都鄙,トヒ
当意,トウイ
撞木,シュモク
はちのこ,ハチノコ
半国,ハンゴク
政綱,セイコウ
停会,テイカイ
肉牛,ニクギュウ
ヒンディー,ヒンディー
極盛,キョクセイ
恒産,コウサン
側方,ソクホウ
対南,タイナン
内方,ナイホウ
緑風,リョクフウ
客貨,キャッカ
ペディキュア,ペディキュア
ボールド,ボールド
メルシー,メルシー
画名,ガメイ
気散じ,キサンジ
旧稿,キュウコウ
渓間,ケイカン
行歩,コウホ
腰間,ヨウカン
師友,シユウ
心猿,シンエン
天柱,テンチュウ
副賞,フクショウ
サルビア,サルビア
カンテ,カンテ
下放,カホウ
単眼,タンガン
古法,コホウ
告諭,コクユ
親任,シンニン
反帝,ハンテイ
強攻,キョウコウ
釣人,チョウジン
デリカテッセン,デリカテッセン
乾魚,カンギョ
牛皮,ギュウヒ
代講,ダイコウ
葉状,ヨウジョウ
サジェスチョン,サジェスチョン
官許,カンキョ
春濤,シュントウ
織工,ショッコウ
クレアチニン,クレアチニン
混生,コンセイ
酒石,シュセキ
鮮赤,センセキ
マエストロ,マエストロ
再戦,サイセン
十目,ジュウモク
登路,トウロ
二枚腰,ニマイゴシ
熱砂,ネッサ
奔出,ホンシュツ
新家,シンヤ
知命,チメイ
村木,ムラギ
病体,ビョウタイ
アラモ,アラモ
現勢,ゲンセイ
浸礼,シンレイ
殿試,デンシ
アルミナ,アルミナ
ブラックベリー,ブラックベリー
飛天,ヒテン
堅果,ケンカ
小輪,ショウリン
老幼,ロウヨウ
オルガナイザー,オルガナイザー
為本,イホン
活物,カツブツ
教勢,キョウセイ
しゃくし,シャクシ
秋冷,シュウレイ
信女,シンニョ
正位,セイイ
添え状,ソエジョウ
道俗,ドウゾク
もっそう,モッソウ
シミュレート,シミュレート
サイディング,サイディング
配船,ハイセン
アルバイター,アルバイター
パラフレーズ,パラフレーズ
菊判,キクバン
僧団,ソウダン
旦夕,タンセキ
等時,トウジ
平調,ヒョウジョウ
本券,ホンケン
標石,ヒョウセキ
